"Ano","Facultad.SIDI","PAS","PDI","PI","Estudiantes","Total"
"2007","F. BELLAS ARTES","72","186","4","2189","2451"
"2008","F. BELLAS ARTES","82","180","4","2195","2461"
"2009","F. BELLAS ARTES","92","178","2","2205","2477"
"2010","F. BELLAS ARTES","91","173","4","2218","2486"
"2011","F. BELLAS ARTES","89","173","8","2339","2609"
"2012","F. BELLAS ARTES","88","166","12","2414","2680"
"2013","F. BELLAS ARTES","86","152","10","2404","2652"
"2014","F. BELLAS ARTES","84","165","8","2463","2720"
"2015","F. BELLAS ARTES","84","168","10","2347","2609"
"2016","F. BELLAS ARTES","83","181","10","2280","2554"
"2017","F. BELLAS ARTES","82","190","13","2247","2532"
"2018","F. BELLAS ARTES","85","196","19","2373","2673"
"2019","F. BELLAS ARTES","85","207","21","2282","2595"
"2020","F. BELLAS ARTES","81","205","21","2128","2435"
"2021","F. BELLAS ARTES","82","220","27","2153","2482"
"2022","F. BELLAS ARTES","82","220","26","2122","2450"
"2023","F. BELLAS ARTES","81","215","28","2221","2545"
"2024","F. BELLAS ARTES","79","222","27","2280","2608"
"2025","F. BELLAS ARTES","68","245","24","2368","2705"
"2007","F. CIENCIAS BIOLOGICAS","73","252","14","2213","2552"
"2008","F. CIENCIAS BIOLOGICAS","76","256","22","2243","2597"
"2009","F. CIENCIAS BIOLOGICAS","87","256","29","2354","2726"
"2010","F. CIENCIAS BIOLOGICAS","88","256","41","2295","2680"
"2011","F. CIENCIAS BIOLOGICAS","85","254","51","2263","2653"
"2012","F. CIENCIAS BIOLOGICAS","84","242","57","2312","2695"
"2013","F. CIENCIAS BIOLOGICAS","83","233","63","2158","2537"
"2014","F. CIENCIAS BIOLOGICAS","79","218","60","2029","2386"
"2015","F. CIENCIAS BIOLOGICAS","82","213","67","2124","2486"
"2016","F. CIENCIAS BIOLOGICAS","81","209","64","2381","2735"
"2017","F. CIENCIAS BIOLOGICAS","78","202","76","2584","2940"
"2018","F. CIENCIAS BIOLOGICAS","78","203","79","3052","3412"
"2019","F. CIENCIAS BIOLOGICAS","83","202","91","1977","2353"
"2020","F. CIENCIAS BIOLOGICAS","83","216","92","1851","2242"
"2021","F. CIENCIAS BIOLOGICAS","79","234","88","1820","2221"
"2022","F. CIENCIAS BIOLOGICAS","83","245","97","1814","2239"
"2023","F. CIENCIAS BIOLOGICAS","81","251","128","1888","2348"
"2024","F. CIENCIAS BIOLOGICAS","79","241","124","1919","2363"
"2025","F. CIENCIAS BIOLOGICAS","80","227","109","2009","2425"
"2007","F. CIENCIAS ECONOMICAS Y EMPRESARIALES","86","461","2","5449","5998"
"2008","F. CIENCIAS ECONOMICAS Y EMPRESARIALES","104","463","2","5060","5629"
"2009","F. CIENCIAS ECONOMICAS Y EMPRESARIALES","117","467","3","5129","5716"
"2010","F. CIENCIAS ECONOMICAS Y EMPRESARIALES","112","461","4","5344","5921"
"2011","F. CIENCIAS ECONOMICAS Y EMPRESARIALES","108","447","10","5441","6006"
"2012","F. CIENCIAS ECONOMICAS Y EMPRESARIALES","105","438","17","5278","5838"
